"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-03","5.14",",,W"," 1223",",,W","0.00",",,W",,,,,,,,,"49",",,W","33",",,W",,,"  110",",,W","  130",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-04","10.96",",,W"," 1102",",,W","0.02",",,W",,,,,,,,,"47",",,W","33",",,W",,,"  250",",,W","  240",",,W","21.9",",,W","30.0",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-05","14.76",",,W"," 0946",",,W","0.00","T,,W",,,,,,,,,"48",",,W","33",",,W",,,"  100",",,W","  100",",,W","23.9",",,W","29.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-06","6.49",",,W"," 1339",",,W","0.36",",,W",,,,,,,,,"47",",,W","35",",,W",,,"  240",",,W","  240",",,W","17.0",",,W","21.9",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-07","8.50",",,W"," 0820",",,W","0.01",",,W",,,,,,,,,"47",",,W","34",",,W",,,"  250",",,W","   30",",,W","21.0",",,W","31.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-08","17.22",",,W"," 2320",",,W","0.22",",,W",,,,,,,,,"41",",,W","32",",,W",,,"  250",",,W","  240",",,W","42.9",",,W","53.0",",,W","    1",",,W",,,,,,,"    1",",,W"
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-09",,," 1150",",,W","0.00",",,W",,,,,,,,,"39",",,W","30",",,W",,,"  240",",,W","  240",",,W","28.0",",,W","35.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-10","6.93",",,W"," 1443",",,W","0.00","T,,W",,,,,,,,,"40",",,W","27",",,W",,,"  130",",,W","  130",",,W","16.1",",,W","18.1",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-11","7.61",",,W"," 0826",",,W","0.00",",,W",,,,,,,,,"45",",,W","26",",,W",,,"  100",",,W","   90",",,W","16.1",",,W","18.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-12","3.13",",,W"," 1505",",,W","0.00",",,W",,,,,,,,,"43",",,W","25",",,W",,,"  280",",,W","  260",",,W","12.1",",,W","15.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-13","6.93",",,W"," 1246",",,W","0.00",",,W",,,,,,,,,"45",",,W","23",",,W",,,"  160",",,W","  170",",,W","14.1",",,W","21.0",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-14","5.82",",,W"," 0127",",,W","0.07",",,W",,,,,,,,,"40",",,W","31",",,W",,,"  160",",,W","  160",",,W","19.9",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-15","5.59",",,W"," 2343",",,W","0.03",",,W",,,,,,,,,"45",",,W","28",",,W",,,"   90",",,W","   80",",,W","14.1",",,W","17.0",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-16","13.87",",,W"," 1140",",,W","0.00",",,W",,,,,,,,,"52",",,W","33",",,W",,,"  160",",,W","  150",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-17","5.37",",,W"," 1512",",,W","0.15",",,W",,,,,,,,,"47",",,W","34",",,W",,,"  260",",,W","  260",",,W","21.0",",,W","25.1",",,W","    1",",,W",,,,,,,,
"USW00094129","PULLMAN MOSCOW REGIONAL AIRPORT, WA US","46.74389","-117.10861","777.5","2006-03-18","4.25",",,W"," 1557",",,W","0.15",",,W",,,,,,,,,"44",",,W","28",",,W",,,"  270",",,W","  220",",,W","15.0",",,W","28.0",",,W","    1",",,W",,,,,,,,
